ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	29.40	30.40
2	0	0	0.6	0.6	0.60	1.60	29.40	30.40
3	0	0	0.6	0.6	1.20	2.20	29.40	30.40
4	0	0	0.6	0.6	1.80	2.80	29.40	30.40
5	0	0	0.6	0.6	2.40	3.40	29.40	30.40
6	0	0	0.6	0.6	3.00	4.00	29.40	30.40
7	0	0	0.6	0.6	3.60	4.60	29.40	30.40
8	0	0	0.6	0.6	4.20	5.20	29.40	30.40
9	0	0	0.6	0.6	4.80	5.80	29.40	30.40
10	0	0	0.6	0.6	5.40	6.40	29.40	30.40
11	0	0	0.6	0.6	6.00	7.00	29.40	30.40
12	0	0	0.6	0.6	6.60	7.60	29.40	30.40
13	0	0	0.6	0.6	7.20	8.20	29.40	30.40
14	0	0	0.6	0.6	7.80	8.80	29.40	30.40
15	0	0	0.6	0.6	8.40	9.40	29.40	30.40
16	0	0	0.6	0.6	9.00	10.00	29.40	30.40
17	0	0	0.6	0.6	9.60	10.60	29.40	30.40
18	0	0	0.6	0.6	10.20	11.20	29.40	30.40
19	0	0	0.6	0.6	10.80	11.80	29.40	30.40
20	0	0	0.6	0.6	11.40	12.40	29.40	30.40
21	0	0	0.6	0.6	12.00	13.00	29.40	30.40
22	0	0	0.6	0.6	12.60	13.60	29.40	30.40
23	0	0	0.6	0.6	13.20	14.20	29.40	30.40
24	0	0	0.6	0.6	13.80	14.80	29.40	30.40
25	0	0	0.6	0.6	14.40	15.40	29.40	30.40
26	0	0	0.6	0.6	15.00	16.00	29.40	30.40
27	0	0	0.6	0.6	15.60	16.60	29.40	30.40
28	0	0	0.6	0.6	16.20	17.20	29.40	30.40
29	0	0	0.6	0.6	16.80	17.80	29.40	30.40
30	0	0	0.6	0.6	17.40	18.40	29.40	30.40
31	0	0	0.6	0.6	18.00	19.00	29.40	30.40
32	0	0	0.6	0.6	18.60	19.60	29.40	30.40
33	0	0	0.6	0.6	19.20	20.20	29.40	30.40
34	0	0	0.6	0.6	19.80	20.80	29.40	30.40
35	0	0	0.6	0.6	20.40	21.40	29.40	30.40
36	0	0	0.6	0.6	21.00	22.00	29.40	30.40
37	0	0	0.6	0.6	21.60	22.60	29.40	30.40
38	0	0	0.6	0.6	22.20	23.20	29.40	30.40
39	0	0	0.6	0.6	22.80	23.80	29.40	30.40
40	0	0	0.6	0.6	23.40	24.40	29.40	30.40
41	0	0	0.6	0.6	24.00	25.00	29.40	30.40
42	0	0	0.6	0.6	24.60	25.60	29.40	30.40
43	0	0	0.6	0.6	25.20	26.20	29.40	30.40
44	0	0	0.6	0.6	25.80	26.80	29.40	30.40
45	0	0	0.6	0.6	26.40	27.40	29.40	30.40
46	0	0	0.6	0.6	27.00	28.00	29.40	30.40
47	0	0	0.6	0.6	27.60	28.60	29.40	30.40
48	0	0	0.6	0.6	28.20	29.20	29.40	30.40
49	0	0	0.6	0.6	28.80	29.80	29.40	30.40
50	0	0	0.6	0.6	29.40	30.40	29.40	30.40
