ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	16.40	23.40
2	0	0	0.6	0.6	1.20	1.20	16.40	23.40
3	0	0	0.6	0.6	1.80	1.80	16.40	23.40
4	0	1	0	1	1.80	2.80	16.40	23.40
5	0	1	0	1	1.80	3.80	16.40	23.40
6	0	0	0.6	0.6	2.40	4.40	16.40	23.40
7	1	1	0.2	0.2	2.60	4.60	16.40	23.40
8	1	1	0.2	0.2	2.80	4.80	16.40	23.40
9	1	0	1	0	3.80	4.80	16.40	23.40
10	1	0	1	0	4.80	4.80	16.40	23.40
11	0	0	0.6	0.6	5.40	5.40	16.40	23.40
12	1	1	0.2	0.2	5.60	5.60	16.40	23.40
13	1	1	0.2	0.2	5.80	5.80	16.40	23.40
14	0	0	0.6	0.6	6.40	6.40	16.40	23.40
15	0	1	0	1	6.40	7.40	16.40	23.40
16	1	0	1	0	7.40	7.40	16.40	23.40
17	0	0	0.6	0.6	8.00	8.00	16.40	23.40
18	0	1	0	1	8.00	9.00	16.40	23.40
19	0	0	0.6	0.6	8.60	9.60	16.40	23.40
20	1	1	0.2	0.2	8.80	9.80	16.40	23.40
21	1	1	0.2	0.2	9.00	10.00	16.40	23.40
22	0	0	0.6	0.6	9.60	10.60	16.40	23.40
23	1	1	0.2	0.2	9.80	10.80	16.40	23.40
24	1	1	0.2	0.2	10.00	11.00	16.40	23.40
25	0	0	0.6	0.6	10.60	11.60	16.40	23.40
26	1	1	0.2	0.2	10.80	11.80	16.40	23.40
27	1	1	0.2	0.2	11.00	12.00	16.40	23.40
28	0	0	0.6	0.6	11.60	12.60	16.40	23.40
29	1	1	0.2	0.2	11.80	12.80	16.40	23.40
30	1	1	0.2	0.2	12.00	13.00	16.40	23.40
31	0	0	0.6	0.6	12.60	13.60	16.40	23.40
32	1	1	0.2	0.2	12.80	13.80	16.40	23.40
33	1	1	0.2	0.2	13.00	14.00	16.40	23.40
34	0	0	0.6	0.6	13.60	14.60	16.40	23.40
35	1	1	0.2	0.2	13.80	14.80	16.40	23.40
36	1	1	0.2	0.2	14.00	15.00	16.40	23.40
37	0	1	0	1	14.00	16.00	16.40	23.40
38	0	1	0	1	14.00	17.00	16.40	23.40
39	0	0	0.6	0.6	14.60	17.60	16.40	23.40
40	1	1	0.2	0.2	14.80	17.80	16.40	23.40
41	1	1	0.2	0.2	15.00	18.00	16.40	23.40
42	0	1	0	1	15.00	19.00	16.40	23.40
43	1	1	0.2	0.2	15.20	19.20	16.40	23.40
44	0	1	0	1	15.20	20.20	16.40	23.40
45	1	1	0.2	0.2	15.40	20.40	16.40	23.40
46	0	1	0	1	15.40	21.40	16.40	23.40
47	1	1	0.2	0.2	15.60	21.60	16.40	23.40
48	0	1	0	1	15.60	22.60	16.40	23.40
49	1	1	0.2	0.2	15.80	22.80	16.40	23.40
50	0	0	0.6	0.6	16.40	23.40	16.40	23.40
